Hostnames,FQDN,IP
AIRSBEAP4020,AIRSBEAP4020.emea.group.atlascopco.com,"[['192.168.145.107'], ['172.21.129.37'], ['192168145107'], ['10.26.17.220'], ['fe80::18af:f736:eea3:2a1'], ['192.168.145.107'], ['172.21.129.37']]"
AIRSBEAP4021,AIRSBEAP4021.emea.group.atlascopco.com,"[['10.199.17.64'], ['192.168.17.64'], ['169.254.0.2'], ['10.26.8.177'], ['10.26.8.177'], ['10.199.17.64'], ['fe80::d974:fcbf:ff92:2af8'], [], ['192.168.17.64'], ['169.254.0.2'], ['fe80::657c:835d:5cad:9c50'], ['10.26.8.177'], []]"
AIRSBEAP4024,AIRSBEAP4024.emea.group.atlascopco.com,"[['10.26.20.50'], ['10.26.20.50'], ['10.26.20.50']]"
AIRSBEAP4025,AIRSBEAP4025.emea.group.atlascopco.com,"[['10.26.20.51'], ['10.26.20.51'], ['10.26.20.51']]"
AIRSBEAP4026,AIRSBEAP4026.emea.group.atlascopco.com,"[['10.26.14.58'], ['10.26.14.58'], ['10.26.14.58']]"
AIRSBEAP4027,AIRSBEAP4027.emea.group.atlascopco.com,"[['10.26.14.59'], ['10.26.14.59'], ['10.26.14.59']]"
AIRSBEAP4028,AIRSBEAP4028.emea.group.atlascopco.com,"[['10.126.147.21'], ['10.126.147.21'], ['10.126.147.21']]"
AIRSBEAP4053,AIRSBEAP4053.emea.group.atlascopco.com,"[['10.26.14.46'], ['10.26.14.46'], ['10.26.14.46']]"
AIRSBEAP4063,AIRSBEAP4063.emea.group.atlascopco.com,"[['10.26.14.57'], ['10.26.14.57'], ['10.26.14.57']]"
AIRSBEAP4070,AIRSBEAP4070.emea.group.atlascopco.com,"[['10.199.16.250'], ['192.168.146.148'], ['10.26.14.54'], ['10.199.16.250'], ['192.168.146.148'], ['10.26.14.54'], ['192.168.146.148'], ['10.199.16.250'], ['10.26.14.54']]"
